date,contexts,questions,answers
2022-12-06,2022년 12월 06일 21시 27분에 집에서 말했다 가게 앞에서 귀여운 고양이를 봤다,,
2022-12-06,2022년 12월 06일 21시 27분에 집에서 말했다 가게 앞에서 귀여운 고양이를 봤다,,
2022-12-06,2022년 12월 06일 21시 27분에 집에서 말했다 가게 앞에서 귀여운 고양이를 봤다,,
2022-12-06,2022년 12월 06일 21시 27분에 집에서 말했다 가게 앞에서 귀여운 고양이를 봤다,,
2022-12-06,2022년 12월 06일 21시 27분에 집에서 말했다 가게 앞에서 귀여운 고양이를 봤다,,
2022-12-06,2022년 12월 06일 15시 42분에 1공학관에서 말했다 모르는 사람이랑 밥 먹었다 재미있었다,,
2022-12-06,2022년 12월 06일 15시 42분에 1공학관에서 말했다 모르는 사람이랑 밥 먹었다 재미있었다,,
2022-12-06,2022년 12월 06일 15시 42분에 1공학관에서 말했다 모르는 사람이랑 밥 먹었다 재미있었다,,
2022-12-06,2022년 12월 06일 15시 42분에 1공학관에서 말했다 모르는 사람이랑 밥 먹었다 재미있었다,,
2022-12-06,2022년 12월 06일 15시 42분에 1공학관에서 말했다 모르는 사람이랑 밥 먹었다 재미있었다,,
2022-12-06,2022년 12월 06일 15시 42분에 1공학관에서 말했다 모르는 사람이랑 밥 먹었다 재미있었다,,
2022-12-07,2022년 12월 07일 15시 47분에 스시도쿠에서 말했다 동기들이랑 회랑 소주를 먹었다 술이 비쌌다,,
2022-12-07,2022년 12월 07일 15시 47분에 스시도쿠에서 말했다 동기들이랑 회랑 소주를 먹었다 술이 비쌌다,,
2022-12-07,2022년 12월 07일 15시 47분에 스시도쿠에서 말했다 동기들이랑 회랑 소주를 먹었다 술이 비쌌다,,
2022-12-07,2022년 12월 07일 15시 47분에 스시도쿠에서 말했다 동기들이랑 회랑 소주를 먹었다 술이 비쌌다,,
2022-12-07,2022년 12월 07일 15시 47분에 스시도쿠에서 말했다 동기들이랑 회랑 소주를 먹었다 술이 비쌌다,,
2022-12-07,2022년 12월 07일 15시 47분에 스시도쿠에서 말했다 동기들이랑 회랑 소주를 먹었다 술이 비쌌다,,
2022-12-07,2022년 12월 07일 15시 47분에 스시도쿠에서 말했다 동기들이랑 회랑 소주를 먹었다 술이 비쌌다,,
2022-12-08,2022년 12월 08일 08시 37분에 니캉내캉에서 말했다 오늘 교수님이 기분이 좋지 않은 듯 했다,,
2022-12-08,2022년 12월 08일 08시 37분에 니캉내캉에서 말했다 오늘 교수님이 기분이 좋지 않은 듯 했다,,
2022-12-08,2022년 12월 08일 08시 37분에 니캉내캉에서 말했다 오늘 교수님이 기분이 좋지 않은 듯 했다,,
2022-12-08,2022년 12월 08일 08시 37분에 니캉내캉에서 말했다 오늘 교수님이 기분이 좋지 않은 듯 했다,,
2022-12-08,2022년 12월 08일 08시 37분에 니캉내캉에서 말했다 오늘 교수님이 기분이 좋지 않은 듯 했다,,
2022-12-08,2022년 12월 08일 15시 23분에 마쿠 마라탕에서 말했다 한양대점 버블이 딱딱했다,,
2022-12-08,2022년 12월 08일 15시 23분에 마쿠 마라탕에서 말했다 한양대점 버블이 딱딱했다,,
2022-12-08,2022년 12월 08일 15시 23분에 마쿠 마라탕에서 말했다 한양대점 버블이 딱딱했다,,
2022-12-08,2022년 12월 08일 15시 23분에 마쿠 마라탕에서 말했다 한양대점 버블이 딱딱했다,,
2022-12-08,2022년 12월 08일 15시 23분에 마쿠 마라탕에서 말했다 한양대점 버블이 딱딱했다,,
2022-12-09,2022년 12월 09일 04시 09분에 끄트머리집에서 말했다 준상이랑 야채곱창을 먹었다 맛있었다,,
2022-12-09,2022년 12월 09일 04시 09분에 끄트머리집에서 말했다 준상이랑 야채곱창을 먹었다 맛있었다,,
2022-12-09,2022년 12월 09일 04시 09분에 끄트머리집에서 말했다 준상이랑 야채곱창을 먹었다 맛있었다,,
2022-12-09,2022년 12월 09일 04시 09분에 끄트머리집에서 말했다 준상이랑 야채곱창을 먹었다 맛있었다,,
2022-12-09,2022년 12월 09일 04시 09분에 끄트머리집에서 말했다 준상이랑 야채곱창을 먹었다 맛있었다,,
2022-12-09,2022년 12월 09일 04시 09분에 끄트머리집에서 말했다 준상이랑 야채곱창을 먹었다 맛있었다,,
2022-12-09,2022년 12월 09일 11시 00분에 ITBT관에서 말했다 딸기빙수를 먹었다 빙수 얼음이 녹았다,,
2022-12-09,2022년 12월 09일 11시 00분에 ITBT관에서 말했다 딸기빙수를 먹었다 빙수 얼음이 녹았다,,
2022-12-09,2022년 12월 09일 11시 00분에 ITBT관에서 말했다 딸기빙수를 먹었다 빙수 얼음이 녹았다,,
2022-12-09,2022년 12월 09일 11시 00분에 ITBT관에서 말했다 딸기빙수를 먹었다 빙수 얼음이 녹았다,,
2022-12-09,2022년 12월 09일 11시 00분에 ITBT관에서 말했다 딸기빙수를 먹었다 빙수 얼음이 녹았다,,
2022-12-09,2022년 12월 09일 11시 00분에 ITBT관에서 말했다 딸기빙수를 먹었다 빙수 얼음이 녹았다,,
2022-12-11,2022년 12월 11일 07시 07분에 엘루이피자에서 말했다 왕십리에서 제일 저렴한 고기집을 갔다 아빠 데러갈거다,,
2022-12-11,2022년 12월 11일 07시 07분에 엘루이피자에서 말했다 왕십리에서 제일 저렴한 고기집을 갔다 아빠 데러갈거다,,
2022-12-11,2022년 12월 11일 07시 07분에 엘루이피자에서 말했다 왕십리에서 제일 저렴한 고기집을 갔다 아빠 데러갈거다,,
2022-12-11,2022년 12월 11일 07시 07분에 엘루이피자에서 말했다 왕십리에서 제일 저렴한 고기집을 갔다 아빠 데러갈거다,,
2022-12-11,2022년 12월 11일 07시 07분에 엘루이피자에서 말했다 왕십리에서 제일 저렴한 고기집을 갔다 아빠 데러갈거다,,
2022-12-11,2022년 12월 11일 07시 07분에 엘루이피자에서 말했다 왕십리에서 제일 저렴한 고기집을 갔다 아빠 데러갈거다,,
2022-12-11,2022년 12월 11일 12시 22분에 롤링파스타에서 말했다 로제파스타를 먹었다 파스타 면이 딱딱했다,,
2022-12-11,2022년 12월 11일 12시 22분에 롤링파스타에서 말했다 로제파스타를 먹었다 파스타 면이 딱딱했다,,
2022-12-11,2022년 12월 11일 12시 22분에 롤링파스타에서 말했다 로제파스타를 먹었다 파스타 면이 딱딱했다,,
2022-12-11,2022년 12월 11일 12시 22분에 롤링파스타에서 말했다 로제파스타를 먹었다 파스타 면이 딱딱했다,,
2022-12-11,2022년 12월 11일 12시 22분에 롤링파스타에서 말했다 로제파스타를 먹었다 파스타 면이 딱딱했다,,
2022-12-11,2022년 12월 11일 12시 22분에 롤링파스타에서 말했다 로제파스타를 먹었다 파스타 면이 딱딱했다,,
2022-12-11,2022년 12월 11일 05시 38분에 철남에서 말했다 제육볶음을 먹었다 양파가 많았다,,
2022-12-11,2022년 12월 11일 05시 38분에 철남에서 말했다 제육볶음을 먹었다 양파가 많았다,,
2022-12-11,2022년 12월 11일 05시 38분에 철남에서 말했다 제육볶음을 먹었다 양파가 많았다,,
2022-12-11,2022년 12월 11일 05시 38분에 철남에서 말했다 제육볶음을 먹었다 양파가 많았다,,
2022-12-11,2022년 12월 11일 05시 38분에 철남에서 말했다 제육볶음을 먹었다 양파가 많았다,,
